"Numéro *";"Date de la facture *";"Numéro du devis";"Nom du projet";"Rue du client";"Code postal du client";"Ville du client";"Responsable commercial";"Montant HT *";"Montant TTC *";"Montant TTC du *";"Montant taxe 20.00000%";"Montant taxe 10.00000%";"Montant taxe 5.50000%";"Montant taxe 0.00000%"
231219-CDE-MOUVAUX-06-11-23-TPFN701-4490;19/12/2023;CDE-MOUVAUX-06-11-23-TPFN701;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;151.50;181.80;"Non payé";30.30;;;
231219-CDE-MOUVAUX-06-11-23-TPFN701-4489;19/12/2023;CDE-MOUVAUX-06-11-23-TPFN701;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;42.00;50.40;"Non payé";8.40;;;
231219-CDE-28-11-2023-YZY-MOUVAUX-XONC716-4488;19/12/2023;CDE-28-11-2023-YZY-MOUVAUX-XONC716;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;105.00;126.00;"Non payé";21.00;;;
231219-CDE-CULTURE-VAP-06-11-23-FKVF702-4487;19/12/2023;CDE-CULTURE-VAP-06-11-23-FKVF702;;"10F Rue de la Retardais";35000;Rennes;"Culture Vap - Beyond the vapes";456.50;547.80;"Non payé";91.30;;;
231219-BDC-XMBF652-2023-652-4486;19/12/2023;BDC-XMBF652-2023-652;;"10F Rue de la Retardais";35000;Rennes;"Culture Vap - Beyond the vapes";343.80;412.56;"Non payé";68.76;;;
231219-CDE-APYSCOR-30-10-23-OFJK694-4485;19/12/2023;CDE-APYSCOR-30-10-23-OFJK694;;"Avenue Zenobe Gramme 5";1480;Saintes;"ETS JF Maes";2575.80;2575.80;"Non payé";;;;0.00
231218-BDC-21-11-2023-Marie-Jeanne-LDUE711-4481;18/12/2023;BDC-21-11-2023-Marie-Jeanne-LDUE711;;"57 Montée de Saint Menet";13011;Marseille;"MARIE JEANNE";1471.30;1765.56;"Non payé";294.26;;;
231214-CDE-VAP-AIR-08-12-23-SVVR732-4479;14/12/2023;CDE-VAP-AIR-08-12-23-SVVR732;;"15 rue Roger Bouvry";59213;SECLIN;"ALTERNA DJC (VAP AIR)";265.59;318.71;"Non payé";53.12;;;
231213-CDE-Smok-air-08-12-2023-MGVJ731-4478;13/12/2023;CDE-Smok-air-08-12-2023-MGVJ731;;"4 RUE DE L EGLISE";59114;STEENVOORDE;"SMOK'AIR STORE";395.00;474.00;"Non payé";79.00;;;
231212-CDE-RONCQ-12-12-23-JUBY735-4477;12/12/2023;CDE-RONCQ-12-12-23-JUBY735;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;31.50;37.80;"Non payé";6.30;;;
231212-CDE-CULTURE-VAP-04-12-23-DWUY723-4476;12/12/2023;CDE-CULTURE-VAP-04-12-23-DWUY723;;"10F Rue de la Retardais";35000;Rennes;"Culture Vap - Beyond the vapes";3369.10;4042.92;"Non payé";673.82;;;
231207-CDE-VAP-AIR-reliquat-QXQU729-4474;07/12/2023;CDE-VAP-AIR-reliquat-QXQU729;;"15 rue Roger Bouvry";59213;SECLIN;"ALTERNA DJC (VAP AIR)";287.24;344.69;"Non payé";57.45;;;
231206-CDE-28-11-2023-YZY-MOUVAUX-XONC716-4473;06/12/2023;CDE-28-11-2023-YZY-MOUVAUX-XONC716;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;1157.60;1389.12;"Non payé";231.52;;;
231205-CDE-23-11-2023-sas-gile-VUCI715-4472;05/12/2023;CDE-23-11-2023-sas-gile-VUCI715;;"57 MONTEE DE SAINT-MENET Zone Industrielle Delta";13011;Marseille;"SAS Gile";1216.00;1459.20;"Non payé";243.20;;;
231204-CDE-LESLIE-04-12-23-AMOT722-4471;04/12/2023;CDE-LESLIE-04-12-23-AMOT722;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;84.00;100.80;"Non payé";16.80;;;
231201-GVML-JAPAFLO-VAPE-FANVAP-JAPAFLO-Epility-Japaflo-Fanvap-Vape-4470;01/12/2023;CDE-Vape-d-aur-20-10-2023-VKDU687;;"39 BIS AVENUE DE PARIS";51100;REIMS;"SAS CIGAGESTION";1517.6;1821.12;"Non payé";303.52;;;
231129-CDE-COMINES-25-11-23-DSNW718-4467;29/11/2023;CDE-COMINES-25-11-23-DSNW718;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;659.60;791.52;"Non payé";131.92;;;
231128-CDE-APYSCOR-30-10-23-OFJK694-4465;28/11/2023;CDE-APYSCOR-30-10-23-OFJK694;;"Avenue Zenobe Gramme 5";1480;Saintes;"ETS JF Maes";6863.40;6863.40;"Non payé";;;;0.00
231127-CDE-RONCQ-22-11-23-RYSS712-4464;27/11/2023;CDE-RONCQ-22-11-23-RYSS712;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;644.90;773.88;"Non payé";128.98;;;
231123-GVML-Japaflo-4463;23/11/2023;CDE-Japaflo-27-10-2023-WAME693;;"39 BIS AVENUE DE PARIS";51100;REIMS;"SAS CIGAGESTION";1735.9;2083.08;"Non payé";347.18;;;
231123-Epility-Japaflo-Fanvap-4462;23/11/2023;CDE-Fanvap-20-10-2023-MWJY686;;"39 BIS AVENUE DE PARIS";51100;REIMS;"SAS CIGAGESTION";769.6;923.52;"Non payé";153.92;;;
231123-VAPE-FANVAP-JAPAFLO-4461;23/11/2023;CDE-JAPAFLO-14-11-23-PYIR708;;"39 BIS AVENUE DE PARIS";51100;REIMS;"SAS CIGAGESTION";1006.2;1207.44;"Non payé";201.24;;;
231121-CDE-APYSCOR-30-10-23-OFJK694-4460;21/11/2023;CDE-APYSCOR-30-10-23-OFJK694;;"Avenue Zenobe Gramme 5";1480;Saintes;"ETS JF Maes";1166.40;1166.40;"Non payé";;;;0.00
231121-BDC-XMBF652-2023-652-4459;21/11/2023;BDC-XMBF652-2023-652;;"10F Rue de la Retardais";35000;Rennes;"Culture Vap - Beyond the vapes";39.00;46.80;"Non payé";7.80;;;
231121-CDE-CULTURE-VAP-06-11-23-FKVF702-4458;21/11/2023;CDE-CULTURE-VAP-06-11-23-FKVF702;;"10F Rue de la Retardais";35000;Rennes;"Culture Vap - Beyond the vapes";4400.05;5280.06;"Non payé";880.01;;;
231117-CDE-yzy-comines-31-10-2023-VKZG697-4457;17/11/2023;CDE-yzy-comines-31-10-2023-VKZG697;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;188.58;226.30;"Non payé";37.72;;;
231116-CDE-yzy-comines-11-10-2023-YILH677-4456;16/11/2023;CDE-yzy-comines-11-10-2023-YILH677;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;40.00;48.00;"Non payé";8.00;;;
231116-CDE-RONCQ-14-11-23-TBZD709-4455;16/11/2023;CDE-RONCQ-14-11-23-TBZD709;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;452.40;542.88;"Non payé";90.48;;;
231116-CDE-RONCQ-02-11-23-ASBH696-4454;16/11/2023;CDE-RONCQ-02-11-23-ASBH696;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;953.50;1144.20;"Non payé";190.70;;;
231116-TGOW-4453;16/11/2023;TGOW;;"46 RUE GARIBALDI";76300;"SOTTEVILLE LES ROUEN";"Elec clope";455.40;546.48;"Non payé";91.08;;;
231115-CDE-VAP-AIR-20-10-23-BPDY688-4452;15/11/2023;CDE-VAP-AIR-20-10-23-BPDY688;;"15 rue Roger Bouvry";59213;SECLIN;"ALTERNA DJC (VAP AIR)";548.10;657.72;"Non payé";109.62;;;
231115-CDE-VAP-AIR-20-10-23-BPDY688-4451;15/11/2023;CDE-VAP-AIR-20-10-23-BPDY688;;"15 rue Roger Bouvry";59213;SECLIN;"ALTERNA DJC (VAP AIR)";631.26;757.51;"Non payé";126.25;;;
231114-CDE-Jeannette-16-10-23-USYS704-4450;14/11/2023;CDE-Jeannette-16-10-23-USYS704;;"57 Montée de Saint Menet";13011;Marseille;"MARIE JEANNE";2522.85;3027.42;"Non payé";504.57;;;
231114-CDE-Smokair-25-10-2023-VCLI689-4449;14/11/2023;CDE-Smokair-25-10-2023-VCLI689;;"4 RUE DE L EGLISE";59114;STEENVOORDE;"SMOK'AIR STORE";379.50;455.40;"Non payé";75.90;;;
231113-CDE-VAP-AIR-20-10-23-BPDY688-4448;13/11/2023;CDE-VAP-AIR-20-10-23-BPDY688;;"15 rue Roger Bouvry";59213;SECLIN;"ALTERNA DJC (VAP AIR)";569.79;683.75;"Non payé";113.96;;;
231107-CDE-yzy-comines-31-10-2023-VKZG697-4447;07/11/2023;CDE-yzy-comines-31-10-2023-VKZG697;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;363.20;435.84;"Non payé";72.64;;;
231106-CDE-MOUVAUX-06-11-23-TPFN701-4446;06/11/2023;CDE-MOUVAUX-06-11-23-TPFN701;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;777.85;933.42;"Non payé";155.57;;;
231106-IPTMCPEFY-4445;06/11/2023;IPTMCPEFY;"Aeroma prostore";;;;"Ovelacque Anita";159.09;189.09;"payé le 06/11/2023";30.00;;;
231102-Epility-Japaflo-Fanvap-4444;02/11/2023;CDE-Fanvap-20-10-2023-MWJY686;;"39 BIS AVENUE DE PARIS";51100;REIMS;"SAS CIGAGESTION";1557.1;1868.52;"Non payé";311.42;;;
231030-CDE-VAP-AIR-20-10-23-BPDY688-4443;30/10/2023;CDE-VAP-AIR-20-10-23-BPDY688;;"15 rue Roger Bouvry";59213;SECLIN;"ALTERNA DJC (VAP AIR)";403.63;484.36;"Non payé";80.73;;;
231027-CDE-RONCQ-27-10-23-ATKK691-4442;27/10/2023;CDE-RONCQ-27-10-23-ATKK691;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;39.50;47.40;"Non payé";7.90;;;
231026-CDE-CERES-PO2309-0080-NYBU671-4441;26/10/2023;CDE-CERES-PO2309-0080-NYBU671;;"18 CHEMIN DU TISON";86000;POITIERS;"Laboratoire Cérès";5334.00;6272.78;"Non payé";1045.46;;;
231017-ECPSUXRVJ-4439;17/10/2023;ECPSUXRVJ;"Aeroma prostore";-;-;-;"SAFLOG / Chrystelle BORGHI";83.28;98.28;"payé le 17/10/2023";15.00;;;
231017-CDE-RONCQ-16-10-23-XFRH682-4438;17/10/2023;CDE-RONCQ-16-10-23-XFRH682;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;42.00;50.40;"Non payé";8.40;;;
231016-CDE-yzy-comines-11-10-2023-YILH677-4437;16/10/2023;CDE-yzy-comines-11-10-2023-YILH677;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;568.63;682.36;"Non payé";113.73;;;
231016-BDC-VSTQ676-2023-676-4436;16/10/2023;BDC-VSTQ676-2023-676;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;866.50;1039.80;"Non payé";173.30;;;
231016-CDE-Mouvaux-13-10-23-ODKV681-4435;16/10/2023;CDE-Mouvaux-13-10-23-ODKV681;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;84.00;100.80;"Non payé";16.80;;;
231016-CDE-LE-VAPOTEUR-03-10-23-SSES670-4434;16/10/2023;CDE-LE-VAPOTEUR-03-10-23-SSES670;;"RUE du Gravier 23";4032;Chênée;"LE VAPOTEUR";1535.00;1535.00;"Non payé";;;;0.00
231011-Vape-HHUE667-MRKL666-UOCY665-WUVW664-4433;11/10/2023;BDC-WUVW664-2023-664;;"39 BIS AVENUE DE PARIS";51100;REIMS;"SAS CIGAGESTION";3268.8;3922.56;"Non payé";653.76;;;
231010-CDE-ELEC-CLOPE-09-10-23-OXMU674-4432;10/10/2023;CDE-ELEC-CLOPE-09-10-23-OXMU674;;"46 RUE GARIBALDI";76300;"SOTTEVILLE LES ROUEN";"Elec clope";232.11;278.53;"Non payé";46.42;;;
231010-CDE-LE-VAPOTEUR-03-10-23-SSES670-4431;10/10/2023;CDE-LE-VAPOTEUR-03-10-23-SSES670;;"RUE du Gravier 23";4032;Chênée;"LE VAPOTEUR";1514.50;1514.50;"Non payé";;;;0.00
231009-BDC-SDZV662-2023-662-4430;09/10/2023;BDC-SDZV662-2023-662;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;289.40;347.28;"Non payé";57.88;;;
231009-CDE-RONCQ-02-10-23-KLLB668-4429;09/10/2023;CDE-RONCQ-02-10-23-KLLB668;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;746.40;895.68;"Non payé";149.28;;;
231005-BDC-SDZV662-2023-662-4428;05/10/2023;BDC-SDZV662-2023-662;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;1184.60;1421.52;"Non payé";236.92;;;
231004-CDE-CERES-PO2309-0080-NYBU671-4427;04/10/2023;CDE-CERES-PO2309-0080-NYBU671;;"18 CHEMIN DU TISON";86000;POITIERS;"Laboratoire Cérès";4856.00;5710.66;"Non payé";951.78;;;
231002-BDC-XMBF652-2023-652-4426;02/10/2023;BDC-XMBF652-2023-652;;"10F Rue de la Retardais";35000;Rennes;"Culture Vap - Beyond the vapes";3864.60;4637.52;"Non payé";772.92;;;
231002-CDE-Jeannette-77-20-09-23-AUGW660-4425;02/10/2023;CDE-Jeannette-77-20-09-23-AUGW660;;"57 Montée de Saint Menet";13011;Marseille;"MARIE JEANNE";743.51;892.21;"Non payé";148.70;;;
230929-BDC-AULX655-2023-655-4424;29/09/2023;BDC-AULX655-2023-655;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;315.64;378.77;"Non payé";63.13;;;
230927-BDC-EQPN651-2023-651-4423;27/09/2023;BDC-EQPN651-2023-651;;"15 rue Roger Bouvry";59213;SECLIN;"ALTERNA DJC (VAP AIR)";1780.00;2136.00;"Non payé";356.00;;;
230927-CDE-VAP-AIR-19-09-23-DNEJ661-4422;27/09/2023;CDE-VAP-AIR-19-09-23-DNEJ661;;"15 rue Roger Bouvry";59213;SECLIN;"ALTERNA DJC (VAP AIR)";484.30;581.16;"Non payé";96.86;;;
230927-CDE-Jeannette-77-20-09-23-AUGW660-4421;27/09/2023;CDE-Jeannette-77-20-09-23-AUGW660;;"57 Montée de Saint Menet";13011;Marseille;"MARIE JEANNE";1322.00;1586.40;"Non payé";264.40;;;
230926-CDE-Jeannette-77-20-09-23-AUGW660-4420;26/09/2023;CDE-Jeannette-77-20-09-23-AUGW660;;"57 Montée de Saint Menet";13011;Marseille;"MARIE JEANNE";1036.03;1243.24;"Non payé";207.21;;;
230925-BDC-CERES-0053-27-06-23-AOMD656-4419;25/09/2023;BDC-CERES-0053-27-06-23-AOMD656;;"18 CHEMIN DU TISON";86000;POITIERS;"Laboratoire Cérès";480.00;564.48;"Non payé";94.08;;;
230925-CDE-CERES-0053-27-06-23-USVL580-4418;25/09/2023;CDE-CERES-0053-27-06-23-USVL580;;"18 CHEMIN DU TISON";86000;POITIERS;"Laboratoire Cérès";1080.00;1270.08;"Non payé";211.68;;;
230921-BDC-FGQU654-2023-654-4417;21/09/2023;BDC-FGQU654-2023-654;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;140.99;169.19;"Non payé";28.20;;;
230920-BDC-ARHE653-2023-653-4416;20/09/2023;BDC-ARHE653-2023-653;;"4 RUE DE L EGLISE";59114;STEENVOORDE;"SMOK'AIR STORE";248.71;298.45;"Non payé";49.74;;;
230920-BDC-ZAOS649-2023-649-4415;20/09/2023;BDC-ZAOS649-2023-649;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;793.22;951.86;"Non payé";158.64;;;
230919-Reliquat-cde-du-18-08-2023-XJZL638-4414;19/09/2023;Reliquat-cde-du-18-08-2023-XJZL638;;"Avenue Zenobe Gramme 5";1480;Saintes;"ETS JF Maes";14418.00;14418.00;"Non payé";;;;0.00
230918-BDC-NSLF648-2023-648-4413;18/09/2023;BDC-NSLF648-2023-648;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;387.33;464.80;"Non payé";77.47;;;
230915-BDC-URIT647-2023-647-4412;15/09/2023;BDC-URIT647-2023-647;;"8 AVENUE NATIONALE La Neuvillette";51100;REIMS;Distrivape;1231.77;1478.12;"Non payé";246.35;;;
230914-RDXH646-4411;14/09/2023;BDC-RDXH646-2023-646;;"39 BIS AVENUE DE PARIS";51100;REIMS;"SAS CIGAGESTION";33.9;40.68;"Non payé";6.78;;;
230912-BDC-GOSL644-2023-644-4409;12/09/2023;BDC-GOSL644-2023-644;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;349.87;419.84;"Non payé";69.97;;;
230912-OJJH643-4408;12/09/2023;BDC-OJJH643-2023-643;;"39 BIS AVENUE DE PARIS";51100;REIMS;"SAS CIGAGESTION";1837.9;2205.48;"Non payé";367.58;;;
230912-JWTZ642-4407;12/09/2023;BDC-JWTZ642-2023-642;;"39 BIS AVENUE DE PARIS";51100;REIMS;"SAS CIGAGESTION";469;562.8;"Non payé";93.8;;;
230912-IFIA641-4406;12/09/2023;BDC-IFIA641-2023-641;;"39 BIS AVENUE DE PARIS";51100;REIMS;"SAS CIGAGESTION";1017.5;1221;"Non payé";203.5;;;
230908-BDC-PFFK640-2023-640-4405;08/09/2023;BDC-PFFK640-2023-640;;"4 RUE DE L EGLISE";59114;STEENVOORDE;"SMOK'AIR STORE";310.52;372.62;"Non payé";62.10;;;
230906-CDE-Urgente-RQ-SBXX639-4404;06/09/2023;CDE-Urgente-RQ-SBXX639;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;42.00;50.40;"Non payé";8.40;;;
